Image_id,material_image_id,style_tags,design_description,user_preference,material_type,color_palette
604,604,minimalist,"A simple, clean space with neutral colors and open areas.",likes clean lines and clutter-free spaces,metal,"#D03CE8, #C8CD5C, #B5ED67"
605,605,boho,A vibrant space with eclectic patterns and layered textiles.,loves eclectic vibes and cozy textures,wood,"#664230, #AACCB2, #EE9008"
606,606,boho,Bohemian style living room full of plants and handmade decor.,prefers natural fabrics and artistic patterns,glass,"#2DD92B, #2657C3, #75A1F6"
607,607,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,wants warm minimalism and neutral colors,glass,"#7EF811, #9D8A5B, #FEA68A"
608,608,industrial,Industrial style office with concrete walls and metal accents.,likes metal finishes and exposed structures,wood,"#AF6CD1, #11E733, #C51C10"
609,609,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,wants warm minimalism and neutral colors,wood,"#ADDBC1, #CCD8C1, #97C234"
610,610,scandinavian,A cozy bedroom with soft textiles and neutral tones.,likes cozy atmospheres with functional design,stone,"#618C3A, #E8210E, #5BF30D"
611,611,boho,Bohemian style living room full of plants and handmade decor.,likes vibrant colors and handmade decor,leather,"#CF9651, #6AD3D4, #68F98D"
612,612,scandinavian,A cozy bedroom with soft textiles and neutral tones.,wants warm minimalism and neutral colors,tile,"#F9A134, #1D0DFE, #AD8C55"
613,613,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",prefers natural fabrics and artistic patterns,stone,"#E312E6, #F38693, #7FF5BD"
614,614,minimalist,Minimalist living room with sleek furniture and uncluttered design.,likes clean lines and clutter-free spaces,stone,"#FF39C4, #8DA782, #545351"
615,615,scandinavian,A cozy bedroom with soft textiles and neutral tones.,likes cozy atmospheres with functional design,leather,"#A2CDEC, #2D418B, #AB87CB"
616,616,scandinavian,A cozy bedroom with soft textiles and neutral tones.,wants warm minimalism and neutral colors,leather,"#001E3D, #2570A6, #C21E48"
617,617,boho,A vibrant space with eclectic patterns and layered textiles.,prefers natural fabrics and artistic patterns,leather,"#F7C976, #22CE86, #1C891D"
618,618,industrial,A warehouse-inspired kitchen featuring raw materials.,prefers raw textures and darker tones,leather,"#AEDF3D, #1C0940, #423936"
619,619,industrial,A modern loft with exposed brick and steel finishes.,prefers raw textures and darker tones,marble,"#7EFD65, #A0661E, #0ED803"
620,620,minimalist,"A bedroom with white walls, simple furniture, and natural light.",likes clean lines and clutter-free spaces,tile,"#5992E6, #B82FF3, #6C0309"
621,621,industrial,A modern loft with exposed brick and steel finishes.,prefers raw textures and darker tones,stone,"#490F90, #93B855, #7D0EB0"
622,622,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",prefers light woods and natural fabrics,metal,"#5B3791, #D9A524, #98CAB9"
623,623,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,likes cozy atmospheres with functional design,stone,"#C96E79, #9CF262, #D8B464"
624,624,industrial,A modern loft with exposed brick and steel finishes.,prefers raw textures and darker tones,metal,"#3CD17F, #81B943, #81F13C"
625,625,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",prefers light woods and natural fabrics,marble,"#239679, #317E42, #76E098"
626,626,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",loves eclectic vibes and cozy textures,metal,"#739D53, #93D7B6, #CB21C3"
627,627,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",wants warm minimalism and neutral colors,fabric,"#CD4934, #7CA7D6, #62E529"
628,628,minimalist,Minimalist living room with sleek furniture and uncluttered design.,likes clean lines and clutter-free spaces,leather,"#55BDE8, #AD5CC1, #834603"
629,629,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",prefers natural fabrics and artistic patterns,stone,"#4CC620, #F16EFA, #87C95E"
630,630,scandinavian,A cozy bedroom with soft textiles and neutral tones.,wants warm minimalism and neutral colors,marble,"#745605, #5ED595, #BDBB8B"
631,631,boho,A vibrant space with eclectic patterns and layered textiles.,likes vibrant colors and handmade decor,wood,"#BE2A42, #D5C47F, #EB0FC7"
632,632,boho,A vibrant space with eclectic patterns and layered textiles.,prefers natural fabrics and artistic patterns,stone,"#DF03E1, #89FDAB, #42A4D4"
633,633,industrial,Industrial style office with concrete walls and metal accents.,prefers raw textures and darker tones,tile,"#DDBA2B, #B3D4B5, #B0899B"
634,634,minimalist,Minimalist living room with sleek furniture and uncluttered design.,likes clean lines and clutter-free spaces,leather,"#9E902B, #F60E18, #FC3420"
635,635,boho,A vibrant space with eclectic patterns and layered textiles.,prefers natural fabrics and artistic patterns,tile,"#B1349D, #0EC757, #B1DE84"
636,636,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",likes cozy atmospheres with functional design,wood,"#13338C, #41B55D, #7BBC06"
637,637,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,prefers light woods and natural fabrics,glass,"#EC2538, #252A65, #E8BACD"
638,638,boho,A vibrant space with eclectic patterns and layered textiles.,prefers natural fabrics and artistic patterns,marble,"#E9041F, #5C537A, #89740C"
639,639,minimalist,"A simple, clean space with neutral colors and open areas.",prefers simplicity and neutral palettes,wood,"#86E90C, #EA02C2, #92A877"
640,640,industrial,Industrial style office with concrete walls and metal accents.,likes metal finishes and exposed structures,stone,"#A2B294, #2DDCC0, #B49DD5"
641,641,boho,Bohemian style living room full of plants and handmade decor.,loves eclectic vibes and cozy textures,fabric,"#051B4B, #DF1BC3, #853091"
642,642,boho,Bohemian style living room full of plants and handmade decor.,loves eclectic vibes and cozy textures,marble,"#24F1DC, #82AF78, #98D436"
643,643,boho,Bohemian style living room full of plants and handmade decor.,loves eclectic vibes and cozy textures,wood,"#0A9DF9, #463880, #00F53D"
644,644,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",prefers light woods and natural fabrics,tile,"#54B9C6, #A44B2F, #7B651D"
645,645,scandinavian,A cozy bedroom with soft textiles and neutral tones.,wants warm minimalism and neutral colors,metal,"#B3A5BA, #D0587B, #E4131E"
646,646,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,prefers light woods and natural fabrics,marble,"#5ECB9E, #C48971, #E1CED7"
647,647,boho,Bohemian style living room full of plants and handmade decor.,prefers natural fabrics and artistic patterns,marble,"#E28BB0, #A2119D, #8D8EDF"
648,648,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,prefers light woods and natural fabrics,metal,"#7D10A2, #2C4E7A, #5F75BA"
649,649,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",loves eclectic vibes and cozy textures,wood,"#F3A835, #87EF82, #CC4E13"
650,650,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",prefers light woods and natural fabrics,fabric,"#5232B0, #7FB01C, #7A0D59"
651,651,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,wants warm minimalism and neutral colors,leather,"#DF52E9, #3A8F6F, #74A259"
652,652,industrial,A warehouse-inspired kitchen featuring raw materials.,likes metal finishes and exposed structures,tile,"#AAAADB, #D472F6, #62621A"
653,653,industrial,Industrial style office with concrete walls and metal accents.,prefers raw textures and darker tones,stone,"#A4BD34, #8087C3, #F82C7C"
654,654,minimalist,"A simple, clean space with neutral colors and open areas.",prefers simplicity and neutral palettes,fabric,"#DA50FB, #CB2A61, #E99514"
655,655,boho,A vibrant space with eclectic patterns and layered textiles.,loves eclectic vibes and cozy textures,leather,"#24616C, #82B011, #AE3980"
656,656,industrial,A warehouse-inspired kitchen featuring raw materials.,prefers raw textures and darker tones,marble,"#805456, #D3AFE8, #A800EB"
657,657,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",likes cozy atmospheres with functional design,marble,"#7C3A5E, #1B9A5D, #A92FE8"
658,658,minimalist,Minimalist living room with sleek furniture and uncluttered design.,prefers simplicity and neutral palettes,leather,"#CBC399, #DDD376, #374F98"
659,659,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",prefers natural fabrics and artistic patterns,stone,"#54C555, #B2D896, #3BBCA4"
660,660,industrial,Industrial style office with concrete walls and metal accents.,"wants a modern, urban atmosphere",leather,"#D81156, #F4E6D9, #B145B7"
661,661,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",likes vibrant colors and handmade decor,metal,"#000379, #76F2B0, #248324"
662,662,scandinavian,A cozy bedroom with soft textiles and neutral tones.,likes cozy atmospheres with functional design,wood,"#786183, #309432, #E4C17D"
663,663,boho,A vibrant space with eclectic patterns and layered textiles.,likes vibrant colors and handmade decor,stone,"#72EE89, #AFCDBC, #9D5F21"
664,664,boho,Bohemian style living room full of plants and handmade decor.,prefers natural fabrics and artistic patterns,leather,"#796962, #C93CF9, #22F22F"
665,665,industrial,A warehouse-inspired kitchen featuring raw materials.,likes metal finishes and exposed structures,metal,"#1BBE84, #989F51, #426711"
666,666,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,prefers light woods and natural fabrics,stone,"#F225B8, #A337FD, #D318A1"
667,667,industrial,A modern loft with exposed brick and steel finishes.,likes metal finishes and exposed structures,stone,"#D2FF0F, #25B6C3, #FB72AD"
668,668,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",wants warm minimalism and neutral colors,glass,"#E1A6E5, #3F30E7, #316061"
669,669,minimalist,"A simple, clean space with neutral colors and open areas.",prefers simplicity and neutral palettes,metal,"#1D8822, #FD51D0, #1C699E"
670,670,minimalist,"A simple, clean space with neutral colors and open areas.",likes clean lines and clutter-free spaces,leather,"#08B6D2, #322FA9, #839A73"
671,671,boho,Bohemian style living room full of plants and handmade decor.,prefers natural fabrics and artistic patterns,fabric,"#B12D05, #6E6842, #596B80"
672,672,minimalist,Minimalist living room with sleek furniture and uncluttered design.,prefers simplicity and neutral palettes,fabric,"#18CC42, #861327, #924339"
673,673,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",loves eclectic vibes and cozy textures,wood,"#0E53D4, #40BB12, #C28B08"
674,674,industrial,A modern loft with exposed brick and steel finishes.,"wants a modern, urban atmosphere",stone,"#2145F0, #6A9F41, #50BDE1"
675,675,boho,Bohemian style living room full of plants and handmade decor.,likes vibrant colors and handmade decor,glass,"#8ECF5E, #62DCF9, #15F0B0"
676,676,minimalist,"A bedroom with white walls, simple furniture, and natural light.",prefers simplicity and neutral palettes,tile,"#A0CD27, #B5506F, #A382AA"
677,677,scandinavian,A cozy bedroom with soft textiles and neutral tones.,prefers light woods and natural fabrics,stone,"#46E80F, #4E079C, #B552E1"
678,678,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",likes vibrant colors and handmade decor,marble,"#59EF6E, #BB6E98, #FBFB7C"
679,679,industrial,A modern loft with exposed brick and steel finishes.,"wants a modern, urban atmosphere",fabric,"#367D31, #71510F, #22D495"
680,680,minimalist,"A simple, clean space with neutral colors and open areas.",prefers simplicity and neutral palettes,tile,"#56F84C, #48C83D, #9A13C9"
681,681,boho,Bohemian style living room full of plants and handmade decor.,likes vibrant colors and handmade decor,glass,"#44A159, #BA896C, #6813CE"
682,682,industrial,A modern loft with exposed brick and steel finishes.,likes metal finishes and exposed structures,tile,"#CA1785, #7DD964, #13839C"
683,683,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",likes vibrant colors and handmade decor,stone,"#0EEB15, #DF3571, #ED5440"
684,684,industrial,A modern loft with exposed brick and steel finishes.,prefers raw textures and darker tones,glass,"#66C339, #BA5707, #FDFB38"
685,685,minimalist,"A bedroom with white walls, simple furniture, and natural light.",likes clean lines and clutter-free spaces,stone,"#0968C2, #97412D, #3B95F5"
686,686,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",loves eclectic vibes and cozy textures,tile,"#6FBF5B, #062081, #AE6188"
687,687,minimalist,"A bedroom with white walls, simple furniture, and natural light.",wants a calm and functional design,wood,"#44E206, #23E676, #2E3969"
688,688,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,likes cozy atmospheres with functional design,metal,"#527001, #2F0C5F, #A0E59D"
689,689,boho,Bohemian style living room full of plants and handmade decor.,prefers natural fabrics and artistic patterns,marble,"#3FF603, #490ED5, #D25316"
690,690,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",likes cozy atmospheres with functional design,fabric,"#9D5F23, #6A7BEC, #5AAECF"
691,691,industrial,A modern loft with exposed brick and steel finishes.,likes metal finishes and exposed structures,stone,"#F51589, #A8F52A, #80B544"
692,692,scandinavian,A cozy bedroom with soft textiles and neutral tones.,wants warm minimalism and neutral colors,fabric,"#8861A4, #936ACF, #50EB93"
693,693,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",likes cozy atmospheres with functional design,glass,"#367996, #FF85DA, #F104CA"
694,694,minimalist,"A bedroom with white walls, simple furniture, and natural light.",likes clean lines and clutter-free spaces,metal,"#246BB9, #1935C4, #DDE8F3"
695,695,minimalist,"A simple, clean space with neutral colors and open areas.",wants a calm and functional design,wood,"#8B458D, #CE94FA, #C06118"
696,696,scandinavian,A cozy bedroom with soft textiles and neutral tones.,prefers light woods and natural fabrics,wood,"#D2EA8B, #140968, #96E6DE"
697,697,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",likes vibrant colors and handmade decor,stone,"#04F443, #ECDECC, #403B9A"
698,698,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",likes cozy atmospheres with functional design,wood,"#BF90D4, #37584C, #B02E30"
699,699,boho,A vibrant space with eclectic patterns and layered textiles.,likes vibrant colors and handmade decor,glass,"#409672, #5D0202, #32E8FA"
700,700,boho,Bohemian style living room full of plants and handmade decor.,prefers natural fabrics and artistic patterns,leather,"#24848E, #9BEF1E, #24DB37"
701,701,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",wants warm minimalism and neutral colors,glass,"#BDEACA, #0A9C9C, #63A791"
702,702,industrial,Industrial style office with concrete walls and metal accents.,"wants a modern, urban atmosphere",fabric,"#714122, #07D32C, #1D2773"
703,703,boho,Bohemian style living room full of plants and handmade decor.,loves eclectic vibes and cozy textures,metal,"#3DE462, #FC80B3, #ABA3BB"
704,704,minimalist,"A bedroom with white walls, simple furniture, and natural light.",wants a calm and functional design,leather,"#2DD52B, #1F84EF, #E21E21"
705,705,boho,A vibrant space with eclectic patterns and layered textiles.,loves eclectic vibes and cozy textures,marble,"#96FF6E, #D7A7A2, #3AEC97"
706,706,industrial,A modern loft with exposed brick and steel finishes.,likes metal finishes and exposed structures,stone,"#4857E6, #8CA870, #B351F4"
707,707,industrial,Industrial style office with concrete walls and metal accents.,likes metal finishes and exposed structures,tile,"#9E2070, #98D897, #9EB974"
708,708,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,likes cozy atmospheres with functional design,fabric,"#1F7DBC, #F77CDE, #F3BD0A"
709,709,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,likes cozy atmospheres with functional design,fabric,"#53BE5E, #583BDE, #FF0F76"
710,710,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",prefers natural fabrics and artistic patterns,fabric,"#267EA9, #CF3F87, #BD8156"
711,711,minimalist,"A simple, clean space with neutral colors and open areas.",prefers simplicity and neutral palettes,glass,"#5286CA, #7CAD9E, #07A5EC"
712,712,minimalist,"A bedroom with white walls, simple furniture, and natural light.",likes clean lines and clutter-free spaces,stone,"#D3F414, #61B1BA, #84048F"
713,713,scandinavian,A cozy bedroom with soft textiles and neutral tones.,prefers light woods and natural fabrics,stone,"#086880, #FF7914, #8C6F0C"
714,714,industrial,A modern loft with exposed brick and steel finishes.,"wants a modern, urban atmosphere",tile,"#C7B91B, #26874E, #BE392F"
715,715,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",prefers light woods and natural fabrics,tile,"#B38333, #7A03A7, #16018D"
716,716,scandinavian,A cozy bedroom with soft textiles and neutral tones.,wants warm minimalism and neutral colors,fabric,"#0F51BF, #2C43A7, #756250"
717,717,scandinavian,A cozy bedroom with soft textiles and neutral tones.,wants warm minimalism and neutral colors,wood,"#13DB32, #13BDEB, #03556F"
718,718,boho,Bohemian style living room full of plants and handmade decor.,prefers natural fabrics and artistic patterns,tile,"#97FD99, #0F25A3, #0EF1A0"
719,719,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",wants warm minimalism and neutral colors,glass,"#FEC163, #FFCB97, #18E839"
720,720,scandinavian,A cozy bedroom with soft textiles and neutral tones.,likes cozy atmospheres with functional design,tile,"#3657A8, #1E030E, #2450EA"
721,721,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",likes vibrant colors and handmade decor,glass,"#DBA17A, #CBA472, #1DBE3F"
722,722,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",prefers light woods and natural fabrics,glass,"#E46FEA, #4B0F82, #9B563C"
723,723,boho,A vibrant space with eclectic patterns and layered textiles.,prefers natural fabrics and artistic patterns,stone,"#314E53, #47E33C, #C8F6A1"
724,724,minimalist,"A bedroom with white walls, simple furniture, and natural light.",likes clean lines and clutter-free spaces,glass,"#85CB33, #769906, #6CA0C5"
725,725,minimalist,Minimalist living room with sleek furniture and uncluttered design.,likes clean lines and clutter-free spaces,tile,"#35C93B, #E4B229, #E1C186"
726,726,boho,Bohemian style living room full of plants and handmade decor.,likes vibrant colors and handmade decor,glass,"#5AE35A, #79FAA5, #7A6889"
727,727,industrial,A modern loft with exposed brick and steel finishes.,likes metal finishes and exposed structures,tile,"#5E2BCB, #11C6A2, #898A42"
728,728,industrial,A modern loft with exposed brick and steel finishes.,"wants a modern, urban atmosphere",leather,"#0FC171, #6688E8, #1B62DA"
729,729,scandinavian,A cozy bedroom with soft textiles and neutral tones.,wants warm minimalism and neutral colors,glass,"#F2DD54, #FE3E12, #28C11A"
730,730,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,prefers light woods and natural fabrics,tile,"#158A1B, #988817, #5C0F9D"
731,731,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",likes cozy atmospheres with functional design,marble,"#2FFDF2, #CB0969, #024F1B"
732,732,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",prefers natural fabrics and artistic patterns,metal,"#8D08B5, #201190, #B1E863"
733,733,boho,A vibrant space with eclectic patterns and layered textiles.,loves eclectic vibes and cozy textures,stone,"#D5BA15, #98F753, #6163F1"
734,734,industrial,A modern loft with exposed brick and steel finishes.,likes metal finishes and exposed structures,metal,"#214F2B, #A31131, #FD1776"
735,735,industrial,Industrial style office with concrete walls and metal accents.,prefers raw textures and darker tones,stone,"#2DF89A, #221DFF, #FC7119"
736,736,industrial,Industrial style office with concrete walls and metal accents.,prefers raw textures and darker tones,stone,"#2508B6, #AEC7F7, #979042"
737,737,minimalist,"A bedroom with white walls, simple furniture, and natural light.",likes clean lines and clutter-free spaces,glass,"#97CFD5, #B37E7E, #A7B770"
738,738,minimalist,"A bedroom with white walls, simple furniture, and natural light.",likes clean lines and clutter-free spaces,fabric,"#84694D, #C5B71A, #600E21"
739,739,boho,Bohemian style living room full of plants and handmade decor.,prefers natural fabrics and artistic patterns,wood,"#A711DC, #B3866B, #F66AB7"
740,740,minimalist,"A simple, clean space with neutral colors and open areas.",likes clean lines and clutter-free spaces,leather,"#5F1C46, #4A35B3, #C05866"
741,741,minimalist,Minimalist living room with sleek furniture and uncluttered design.,wants a calm and functional design,leather,"#1163A6, #B2124A, #B3DF2E"
742,742,minimalist,Minimalist living room with sleek furniture and uncluttered design.,prefers simplicity and neutral palettes,tile,"#D4D6BF, #C72A60, #75228C"
743,743,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",loves eclectic vibes and cozy textures,tile,"#DF5029, #33044A, #E83EE7"
744,744,industrial,A warehouse-inspired kitchen featuring raw materials.,likes metal finishes and exposed structures,metal,"#39F6E6, #A332F0, #835E9C"
745,745,minimalist,"A simple, clean space with neutral colors and open areas.",wants a calm and functional design,stone,"#6DA55D, #B062FA, #5A0C4C"
746,746,minimalist,"A simple, clean space with neutral colors and open areas.",likes clean lines and clutter-free spaces,stone,"#20BBCD, #5CAA29, #9D27E7"
747,747,boho,A vibrant space with eclectic patterns and layered textiles.,likes vibrant colors and handmade decor,metal,"#5C72AB, #34F1DC, #26F4E2"
748,748,industrial,A warehouse-inspired kitchen featuring raw materials.,likes metal finishes and exposed structures,fabric,"#CB83A6, #7FCCD8, #BA5609"
749,749,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",likes cozy atmospheres with functional design,stone,"#56E9BF, #CD6E4F, #B0F028"
750,750,minimalist,"A bedroom with white walls, simple furniture, and natural light.",prefers simplicity and neutral palettes,fabric,"#1C80EB, #AACAEB, #5D771A"
751,751,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,prefers light woods and natural fabrics,leather,"#128D7D, #A36A0F, #716B9A"
752,752,industrial,A modern loft with exposed brick and steel finishes.,likes metal finishes and exposed structures,tile,"#51FFE1, #C25F7D, #AE9802"
753,753,boho,Bohemian style living room full of plants and handmade decor.,loves eclectic vibes and cozy textures,stone,"#9EDAA0, #527B60, #DE91A3"
754,754,industrial,Industrial style office with concrete walls and metal accents.,prefers raw textures and darker tones,fabric,"#3C5ED3, #E16BB7, #39A74E"
755,755,boho,Bohemian style living room full of plants and handmade decor.,loves eclectic vibes and cozy textures,fabric,"#E5E0EB, #AC0506, #E63A50"
756,756,boho,A vibrant space with eclectic patterns and layered textiles.,loves eclectic vibes and cozy textures,metal,"#129A6C, #A1F4DB, #C51A94"
757,757,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,prefers light woods and natural fabrics,fabric,"#06A423, #0CB329, #05A0B4"
758,758,industrial,A warehouse-inspired kitchen featuring raw materials.,"wants a modern, urban atmosphere",tile,"#6DBFED, #2CD1F9, #BB9ED1"
759,759,boho,A vibrant space with eclectic patterns and layered textiles.,loves eclectic vibes and cozy textures,metal,"#5AC86A, #3AD74C, #9D701A"
760,760,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",wants warm minimalism and neutral colors,tile,"#EFFA56, #333ADF, #F39B35"
761,761,industrial,A modern loft with exposed brick and steel finishes.,prefers raw textures and darker tones,stone,"#1235B4, #25331A, #F69E21"
762,762,minimalist,"A bedroom with white walls, simple furniture, and natural light.",wants a calm and functional design,metal,"#149268, #0324A5, #E644BF"
763,763,industrial,A warehouse-inspired kitchen featuring raw materials.,likes metal finishes and exposed structures,glass,"#A6A016, #036E73, #458D9C"
764,764,minimalist,"A bedroom with white walls, simple furniture, and natural light.",prefers simplicity and neutral palettes,leather,"#60D8DB, #1D452B, #723748"
765,765,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",prefers natural fabrics and artistic patterns,leather,"#CD4AA8, #932626, #85561B"
766,766,minimalist,"A bedroom with white walls, simple furniture, and natural light.",prefers simplicity and neutral palettes,metal,"#644E44, #AA7701, #FBF9FF"
767,767,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,likes cozy atmospheres with functional design,glass,"#BA05A6, #69391B, #F8C468"
768,768,minimalist,"A simple, clean space with neutral colors and open areas.",prefers simplicity and neutral palettes,fabric,"#57018A, #8E24C1, #1A01EF"
769,769,boho,Bohemian style living room full of plants and handmade decor.,loves eclectic vibes and cozy textures,stone,"#752B85, #F8B790, #F53168"
770,770,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,wants warm minimalism and neutral colors,glass,"#17FFCA, #F9AA31, #BA65B5"
771,771,industrial,A modern loft with exposed brick and steel finishes.,"wants a modern, urban atmosphere",wood,"#C6D521, #6B65E3, #BC0967"
772,772,scandinavian,A cozy bedroom with soft textiles and neutral tones.,wants warm minimalism and neutral colors,fabric,"#AEF3B4, #95BFA6, #BAE9A6"
773,773,minimalist,"A bedroom with white walls, simple furniture, and natural light.",wants a calm and functional design,marble,"#4368FD, #C204C7, #983CE2"
774,774,industrial,Industrial style office with concrete walls and metal accents.,likes metal finishes and exposed structures,metal,"#20D9EF, #F72F7F, #6EF0B6"
775,775,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",wants warm minimalism and neutral colors,stone,"#FB9F6B, #F700DB, #9EB853"
776,776,industrial,A warehouse-inspired kitchen featuring raw materials.,likes metal finishes and exposed structures,stone,"#41E64E, #5F0641, #C75B88"
777,777,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,prefers light woods and natural fabrics,leather,"#550CB4, #457287, #76D1E2"
778,778,industrial,A modern loft with exposed brick and steel finishes.,prefers raw textures and darker tones,marble,"#F41643, #99A6AA, #E5A50E"
779,779,industrial,A modern loft with exposed brick and steel finishes.,"wants a modern, urban atmosphere",fabric,"#1F233C, #EA112E, #7F5F93"
780,780,boho,A vibrant space with eclectic patterns and layered textiles.,likes vibrant colors and handmade decor,leather,"#757F28, #53CF46, #BB1CB3"
781,781,industrial,Industrial style office with concrete walls and metal accents.,likes metal finishes and exposed structures,fabric,"#8F7021, #F8BE6E, #39A669"
782,782,industrial,A warehouse-inspired kitchen featuring raw materials.,prefers raw textures and darker tones,fabric,"#6BA318, #0BA901, #5BFBF8"
783,783,boho,Bohemian style living room full of plants and handmade decor.,loves eclectic vibes and cozy textures,stone,"#5B0078, #BB87B9, #7EFEA0"
784,784,industrial,A warehouse-inspired kitchen featuring raw materials.,likes metal finishes and exposed structures,glass,"#CCC208, #A089D5, #729B70"
785,785,boho,Bohemian style living room full of plants and handmade decor.,loves eclectic vibes and cozy textures,metal,"#45BD96, #4DF47B, #57013C"
786,786,minimalist,"A bedroom with white walls, simple furniture, and natural light.",wants a calm and functional design,marble,"#48B399, #8B3003, #BE244F"
787,787,minimalist,"A bedroom with white walls, simple furniture, and natural light.",wants a calm and functional design,leather,"#27D9B8, #9A328D, #A745D2"
788,788,industrial,Industrial style office with concrete walls and metal accents.,likes metal finishes and exposed structures,stone,"#6D2329, #F60932, #76CB58"
789,789,boho,A vibrant space with eclectic patterns and layered textiles.,prefers natural fabrics and artistic patterns,wood,"#925224, #417001, #C3EC75"
790,790,minimalist,"A simple, clean space with neutral colors and open areas.",wants a calm and functional design,glass,"#397528, #4AF41C, #36AF5B"
791,791,industrial,A warehouse-inspired kitchen featuring raw materials.,likes metal finishes and exposed structures,fabric,"#A5FB1D, #C5CFA4, #2420FC"
792,792,minimalist,"A bedroom with white walls, simple furniture, and natural light.",prefers simplicity and neutral palettes,fabric,"#163892, #364728, #BDC6E1"
793,793,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,likes cozy atmospheres with functional design,metal,"#BF7EF0, #1F13B8, #501AC4"
794,794,boho,A vibrant space with eclectic patterns and layered textiles.,loves eclectic vibes and cozy textures,stone,"#97BA2E, #A61BD5, #0958CB"
795,795,industrial,Industrial style office with concrete walls and metal accents.,"wants a modern, urban atmosphere",stone,"#54DF75, #C81BDB, #0A14ED"
796,796,minimalist,"A simple, clean space with neutral colors and open areas.",wants a calm and functional design,stone,"#6210CF, #2679F1, #E1779B"
797,797,minimalist,"A bedroom with white walls, simple furniture, and natural light.",wants a calm and functional design,glass,"#CF002B, #6D84C8, #3DF007"
798,798,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,wants warm minimalism and neutral colors,marble,"#0D2332, #5E8F6B, #E52288"
799,799,industrial,A modern loft with exposed brick and steel finishes.,"wants a modern, urban atmosphere",metal,"#7A3F14, #91F56A, #74A991"
800,800,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",loves eclectic vibes and cozy textures,metal,"#3C750A, #D56D37, #F3A8C6"
801,801,industrial,Industrial style office with concrete walls and metal accents.,prefers raw textures and darker tones,fabric,"#C34E54, #493B5A, #0196F9"
802,802,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",wants warm minimalism and neutral colors,wood,"#B35AF2, #186D47, #3700BA"
803,803,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",prefers light woods and natural fabrics,stone,"#E3B88D, #9978BF, #9C64AA"
